,Journal Name,ISSN
0,Acoustics,2624-599X
1,Actuators,2076-0825
2,Administrative,2076-3387
3,Aerospace,2226-4310
4,Agriculture,2077-0472
5,AgriEngineering,2624-7402
6,Agronomy,2073-4395
7,AI,2673-2688
8,Algorithms,1999-4893
9,Animals,2076-2615
10,Antibiotics,2079-6382
11,Antibodies,2073-4468
12,Antioxidants,2076-3921
13,Applied,2673-3161
14,Applied,2076-3417
15,Applied,2571-5577
16,Arts,2076-0752
17,Atmosphere,2073-4433
18,Atoms,2218-2004
19,Axioms,2075-1680
20,Batteries,2313-0105
21,Behavioral,2076-328X
22,Beverages,2306-5710
23,Big,2504-2289
24,Bioengineering,2306-5354
25,Biology,2079-7737
26,Biomedicines,2227-9059
27,Biomimetics,2313-7673
28,Biomolecules,2218-273X
29,Biosensors,2079-6374
30,Brain,2076-3425
31,Buildings,2075-5309
32,C,2311-5629
33,Cancers,2072-6694
34,Catalysts,2073-4344
35,Cells,2073-4409
36,Ceramics,2571-6131
37,Challenges,2078-1547
38,ChemEngineering,2305-7084
39,Chemistry,2624-8549
40,Chemosensors,2227-9040
41,Children,2227-9067
42,Clean,2571-8797
43,Climate,2225-1154
44,Clocks,2624-5175
45,Coatings,2079-6412
46,Colloids,2504-5377
47,Computation,2079-3197
48,Computers,2073-431X
49,Condensed,2410-3896
50,Corrosion,2624-5558
51,Cosmetics,2079-9284
52,Cryptography,2410-387X
53,Crystals,2073-4352
54,Dairy,2624-862X
55,Data,2306-5729
56,Dentistry,2304-6767
57,Designs,2411-9660
58,Diagnostics,2075-4418
59,Diseases,2079-9721
60,Diversity,1424-2818
61,Drones,2504-446X
62,Econometrics,2225-1146
63,Economies,2227-7099
64,Education,2227-7102
65,Electronics,2079-9292
66,Energies,1996-1073
67,Entropy,1099-4300
68,Environments,2076-3298
69,Epigenomes,2075-4655
70,European,2673-1991
71,European,2254-9625
72,Fermentation,2311-5637
73,Fibers,2079-6439
74,Fire,2571-6255
75,Fishes,2410-3888
76,Fluids,2311-5521
77,Foods,2304-8158
78,Forecasting,2571-9394
79,Forests,1999-4907
80,Fractal,2504-3110
81,Future,1999-5903
82,Galaxies,2075-4434
83,Games,2073-4336
84,Gastrointestinal,2624-5647
85,Gels,2310-2861
86,Genealogy,2313-5778
87,Genes,2073-4425
88,Geosciences,2076-3263
89,Geriatrics,2308-3417
90,Healthcare,2227-9032
91,Hearts,6200-6201
92,Heritage,2571-9408
93,High-Throughput,2571-5135
94,Horticulturae,2311-7524
95,Humanities,2076-0787
96,Hydrology,2306-5338
97,Informatics,2227-9709
98,Information,2078-2489
99,Infrastructures,2412-3811
100,Inorganics,2304-6740
101,Insects,2075-4450
102,Instruments,2410-390X
103,International,1660-4601
104,International,2227-7072
105,International,1422-0067
106,International,2409-515X
107,International,2504-186X
108,Inventions,2411-5134
109,IoT,2624-831X
110,ISPRS,2220-9964
111,J,2571-8800
112,Journal,2308-3425
113,Journal,2077-0383
114,Journal,2504-477X
115,Journal,2221-3759
116,Journal,2079-4983
117,Journal,2411-5142
118,Journal,2309-608X
119,Journal,2313-433X
120,Journal,2079-3200
121,Journal,2079-9268
122,Journal,2504-4494
123,Journal,2077-1312
124,Journal,2199-8531
125,Journal,2075-4426
126,Journal,1911-8074
127,Journal,2224-2708
128,Land,2073-445X
129,Languages,2226-471X
130,Laws,2075-471X
131,Life,2075-1729
132,Logistics,2305-6290
133,Lubricants,2075-4442
134,Machine,2504-4990
135,Machines,2075-1702
136,Magnetochemistry,2312-7481
137,Marine,1660-3397
138,Materials,1996-1944
139,Mathematical,2297-8747
140,Mathematics,2227-7390
141,Medical,2076-3271
142,Medicina,1010-660X
143,Medicines,2305-6320
144,Membranes,2077-0375
145,Metabolites,2218-1989
146,Metals,2075-4701
147,Methods,2409-9279
148,Micromachines,2072-666X
149,Microorganisms,2076-2607
150,Minerals,2075-163X
151,Molbank,1422-8599
152,Molecules,1420-3049
153,Multimodal,2414-4088
154,Nanomaterials,2079-4991
155,Non-Coding,2311-553X
156,Nutrients,2072-6643
157,Oceans,2673-1924
158,Optics,2673-3269
159,Particles,2571-712X
160,Pathogens,2076-0817
161,Pharmaceuticals,1424-8247
162,Pharmaceutics,1999-4923
163,Pharmacy,2226-4787
164,Philosophies,2409-9287
165,Photonics,2304-6732
166,Physics,2624-8174
167,Plants,2223-7747
168,Plasma,2571-6182
169,Polymers,2073-4360
170,Proceedings,2504-3900
171,Processes,2227-9717
172,Prosthesis,2673-1592
173,Proteomes,2227-7382
174,Psych,2624-8611
175,Publications,2304-6775
176,Quantum,2412-382X
177,Quantum,2624-960X
178,Quaternary,2571-550X
179,Recycling,2313-4321
180,Religions,2077-1444
181,Remote,2072-4292
182,Reports,2571-841X
183,Resources,2079-9276
184,Risks,2227-9091
185,Robotics,2218-6581
186,Safety,2313-576X
187,Sci,2413-4155
188,Scientia,2218-0532
189,Sensors,1424-8220
190,Separations,2297-8739
191,Signals,2624-6120
192,Sinusitis,2309-107X
193,Smart,2624-6511
194,Social,2076-0760
195,Societies,2075-4698
196,Soil,2571-8789
197,Sports,2075-4663
198,Stats,2571-905X
199,Surfaces,2571-9637
200,Sustainability,2071-1050
201,Symmetry,2073-8994
202,Systems,2079-8954
203,Technologies,2227-7080
204,Toxics,2305-6304
205,Toxins,2072-6651
206,Tropical,2414-6366
207,Universe,2218-1997
208,Urban,2413-8851
209,Vaccines,2076-393X
210,Vehicles,2624-8921
211,Veterinary,2306-7381
212,Vibration,2571-631X
213,Viruses,1999-4915
214,Vision,2411-5150
215,Water,2073-4441
216,World,2032-6653
