Numer z listy MNISW,Tytuł,issn,e-issn,AEE,ITT,Punkty,IF
1,2D Materials,2053-1583,2053-1583,True,False,140,7.343
6,3D Printing and Additive Manufacturing,2329-7662,2329-7670,True,False,100,3.259
7,3D Research,2092-6731,2092-6731,True,True,40,
10,4OR-A Quarterly Journal of Operations Research,1619-4500,1614-2411,False,True,70,2.056
76,ACM Communications in Computer Algebra,1932-2232,1932-2240,True,True,20,
77,ACM COMPUTING SURVEYS,0360-0300,1557-7341,False,True,200,6.131
78,ACM Journal of Data and Information Quality,1936-1955,1936-1955,False,True,70,
79,ACM Journal on Computing and Cultural Heritage,1556-4673,1556-4711,False,True,100,1.4669999999999999
80,ACM Journal on Emerging Technologies in Computing Systems,1550-4832,1550-4840,False,True,70,2.055
81,ACM SIGCOMM Computer Communication Review,0146-4833,1943-5819,False,True,140,1.74
82,ACM Transactions on Accessible Computing,1936-7228,1936-7236,False,True,70,
83,ACM Transactions on Algorithms,1549-6325,1549-6333,False,True,100,0.8170000000000001
84,ACM Transactions on Applied Perception,1544-3558,1544-3965,False,True,70,1.122
85,ACM Transactions on Architecture and Code Optimization,1544-3566,1544-3973,True,True,70,1.166
86,ACM Transactions on Asian and Low-Resource Language Information Processing,2375-4699,2375-4702,False,True,40,0.7879999999999999
87,ACM Transactions on Autonomous and Adaptive Systems,1556-4665,1556-4703,True,True,100,2.66
88,ACM Transactions on Computation Theory,1942-3454,1942-3462,False,True,70,
89,ACM Transactions on Computational Logic,1529-3785,1557-945X,True,True,100,0.44799999999999995
90,ACM TRANSACTIONS ON COMPUTER SYSTEMS,0734-2071,1557-7333,False,True,200,1.375
91,ACM Transactions on Computer-Human Interaction,1073-0516,1557-7325,True,True,140,1.734
92,ACM Transactions on Computing Education,1946-6226,1946-6226,False,True,100,1.3559999999999999
93,ACM Transactions on Cyber-Physical Systems,2378-962X,2378-9638,True,True,20,
94,ACM TRANSACTIONS ON DATABASE SYSTEMS,0362-5915,1557-4644,False,True,100,1.9
