,Full Title,ISSN,Product ID,Change History
0,Academic Pediatrics,1876-2859,07802,Formerly known as Ambulatory Pediatrics
1,Academic Radiology,1076-6332,13351,
2,Accident Analysis & Prevention,0001-4575,00336,
3,"Accounting, Organizations and Society",0361-3682,00486,
4,Acta Astronautica,0094-5765,00310,
5,Acta Biomaterialia,1742-7061,04067,
6,Acta Colombiana de Cuidado Intensivo,0122-7262,16845,
7,Acta Ecologica Sinica,1872-2032,08574,
8,Acta Histochemica,0065-1281,10000,
9,Acta Materialia,1359-6454,00221,Formerly part of Acta Metallurgica et Materialia; Incorporating Nanostructured Materials
10,Acta Oecologica,1146-609X,09000,
11,Acta Otorrinolaringologica (English Edition),2173-5735,15795,
12,Acta Otorrinolaringológica Española,0001-6519,15720,
13,Acta Pharmaceutica Sinica B,2211-3835,08775,
14,Acta Psychologica,0001-6918,05251,
15,Acta Tropica,0001-706X,05083,
16,Actas Dermo-Sifiliográficas,0001-7310,15717,
17,Actas Dermo-Sifiliográficas (English Edition),1578-2190,15768,
18,Actas Urológicas Españolas,0210-4806,15762,
19,Actas Urológicas Españolas (English Edition),2173-5786,15794,
20,Actualités Pharmaceutiques,0515-3700,09076,
21,Ad Hoc Networks,1570-8705,05481,
22,Addictive Behaviors,0306-4603,00471,
23,Addictive Behaviors Reports,2352-8532,18120,
24,Additive Manufacturing,2214-8604,17059,
25,Additives for Polymers,0306-3747,02061,
26,Advanced Drug Delivery Reviews,0169-409X,05000,
27,Advanced Engineering Informatics,1474-0346,02007,Formerly known as Artificial Intelligence in Engineering
28,Advanced Industrial and Engineering Polymer Research,2542-5048,18401,
29,Advanced Powder Technology,0921-8831,08668,
30,Advances in Accounting,0882-6110,05609,Incorporating Advances in International Accounting
31,Advances in Anesthesia,0737-6146,13139,
32,Advances in Applied Mathematics,0196-8858,12001,
33,Advances in Biological Regulation,2212-4926,00427,Formerly known as Advances in Enzyme Regulation
34,Advances in Biomarker Sciences and Technology,2543-1064,18403,
35,Advances in Chronic Kidney Disease,1548-5595,13265,Formerly known as Advances in Renal Replacement Therapy
36,Advances in Climate Change Research,1674-9278,18115,
37,Advances in Clinical Radiology,2589-8701,18931,
38,Advances in Colloid and Interface Science,0001-8686,05136,
39,Advances in Cosmetic Surgery,2542-4327,18920,
40,Advances in Engineering Software,0965-9978,02000,Formerly known as Advances in Engineering Software and Workstations; Incorporating Computing Systems in Engineering
41,Advances in Family Practice Nursing,2589-420X,18928,
42,Advances in Integrative Medicine,2212-9588,10154,
43,Advances in Life Course Research,1040-2608,05617,
44,Advances in Mathematics,0001-8708,12005,
45,Advances in Medical Sciences,1896-1126,11016,
46,Advances in Molecular Pathology,2589-4080,18924,
47,Advances in Ophthalmology and Optometry,2452-1760,18867,
48,Advances in Pediatrics,0065-3101,13279,
49,Advances in Radiation Oncology,2452-1094,18873,
50,Advances in Small Animal Medicine and Surgery,1041-7826,13001,
51,Advances in Space Research,0273-1177,00644,
52,Advances in Surgery,0065-3411,13142,
53,Advances in Water Resources,0309-1708,02001,
54,Aeolian Research,1875-9637,08639,
55,Aerospace Science and Technology,1270-9638,09001,
56,AEU - International Journal of Electronics and Communications,1434-8411,10029,
57,African Journal of Emergency Medicine,2211-419X,08770,
58,Ageing Research Reviews,1568-1637,05464,
59,Aggression and Violent Behavior,1359-1789,01001,
60,Agri Gene,2352-2151,18859,
61,Agricultural and Forest Meteorology,0168-1923,05320,Formerly known as Agricultural Meteorology
62,Agricultural Systems,0308-521X,02002,
63,Agricultural Water Management,0378-3774,05085,
